day,LAD22CD,activity_count
2021-10-30,E09000029,2365
2021-10-30,E09000030,1909
2021-10-30,E09000031,1858
2021-10-30,E09000032,2511
2021-10-30,E09000033,5093
2021-10-31,E09000001,321
2021-10-31,E09000002,1473
2021-10-31,E09000003,3065
2021-10-31,E09000004,2319
2021-10-31,E09000005,1950
2021-10-31,E09000006,3452
2021-10-31,E09000007,1660
2021-10-31,E09000008,2671
2021-10-31,E09000009,2138
2021-10-31,E09000010,1974
2021-10-31,E09000011,2307
2021-10-31,E09000012,829
2021-10-31,E09000013,1218
2021-10-31,E09000014,1221
2021-10-31,E09000015,1798
2021-10-31,E09000016,2906
2021-10-31,E09000017,3039
2021-10-31,E09000018,1895
2021-10-31,E09000019,821
2021-10-31,E09000020,1209
2021-10-31,E09000021,1470
2021-10-31,E09000022,1563
2021-10-31,E09000023,1443
2021-10-31,E09000024,1560
2021-10-31,E09000025,1958
2021-10-31,E09000026,1912
2021-10-31,E09000027,1682
2021-10-31,E09000028,1641
2021-10-31,E09000029,1786
2021-10-31,E09000030,1381
2021-10-31,E09000031,1320
2021-10-31,E09000032,1884
2021-10-31,E09000033,3217
2021-10-4,E09000001,990
2021-10-4,E09000002,1982
2021-10-4,E09000003,3536
2021-10-4,E09000004,3652
2021-10-4,E09000005,2509
2021-10-4,E09000006,4701
2021-10-4,E09000007,2341
2021-10-4,E09000008,3664
2021-10-4,E09000009,2470
2021-10-4,E09000010,2400
2021-10-4,E09000011,2904
2021-10-4,E09000012,1070
2021-10-4,E09000013,1523
2021-10-4,E09000014,1535
2021-10-4,E09000015,2034
2021-10-4,E09000016,3977
2021-10-4,E09000017,3884
2021-10-4,E09000018,2522
2021-10-4,E09000019,1268
2021-10-4,E09000020,1436
2021-10-4,E09000021,1939
2021-10-4,E09000022,1860
2021-10-4,E09000023,1889
2021-10-4,E09000024,2007
2021-10-4,E09000025,2262
2021-10-4,E09000026,2489
2021-10-4,E09000027,1974
2021-10-4,E09000028,2267
2021-10-4,E09000029,2536
2021-10-4,E09000030,1732
2021-10-4,E09000031,1821
2021-10-4,E09000032,2478
2021-10-4,E09000033,4022
2021-10-5,E09000001,1303
2021-10-5,E09000002,2088
2021-10-5,E09000003,3945
2021-10-5,E09000004,3607
2021-10-5,E09000005,2402
2021-10-5,E09000006,5039
2021-10-5,E09000007,2616
2021-10-5,E09000008,3884
2021-10-5,E09000009,2789
2021-10-5,E09000010,2516
2021-10-5,E09000011,2913
2021-10-5,E09000012,1064
2021-10-5,E09000013,1621
2021-10-5,E09000014,1561
2021-10-5,E09000015,2198
2021-10-5,E09000016,4243
2021-10-5,E09000017,4050
2021-10-5,E09000018,2702
2021-10-5,E09000019,1386
2021-10-5,E09000020,1514
2021-10-5,E09000021,2061
2021-10-5,E09000022,1952
2021-10-5,E09000023,2026
2021-10-5,E09000024,2073
2021-10-5,E09000025,2490
2021-10-5,E09000026,2689
